Date,Open,High,Low,Close,Adj Close,Volume
2005-03-21,0.750810,0.760690,0.750810,0.759820,0.759820,0
2005-03-22,0.759590,0.765640,0.756660,0.764700,0.764700,0
2005-03-23,0.764700,0.771190,0.764060,0.769650,0.769650,0
2005-03-24,0.769700,0.773280,0.767460,0.773280,0.773280,0
2005-03-25,0.773220,0.773220,0.770950,0.771840,0.771840,0
2005-03-28,0.771720,0.777540,0.771660,0.775490,0.775490,0
2005-03-29,0.775490,0.776340,0.772020,0.772920,0.772920,0
2005-03-30,0.772920,0.774350,0.770420,0.774290,0.774290,0
2005-03-31,0.774230,0.774230,0.768230,0.771190,0.771190,0
2005-04-01,0.771130,0.776460,0.766690,0.774650,0.774650,0
2005-04-04,0.775370,0.779970,0.774770,0.778210,0.778210,0
2005-04-05,0.778270,0.781010,0.776580,0.777730,0.777730,0
2005-04-06,0.777730,0.778630,0.774770,0.777180,0.777180,0
2005-04-07,0.777000,0.778570,0.772860,0.778210,0.778210,0
2005-04-08,0.778270,0.780400,0.772560,0.773100,0.773100,0
2005-04-11,0.773930,0.774530,0.769230,0.770950,0.770950,0
2005-04-12,0.770950,0.777060,0.769230,0.774290,0.774290,0
2005-04-13,0.774230,0.777540,0.771960,0.774470,0.774470,0
2005-04-14,0.774410,0.782530,0.774350,0.781560,0.781560,0
2005-04-15,0.781560,0.782290,0.772800,0.777000,0.777000,0
2005-04-18,0.774410,0.776340,0.766810,0.768170,0.768170,0
2005-04-19,0.768170,0.770000,0.764640,0.765400,0.765400,0
2005-04-20,0.765400,0.769410,0.763180,0.764120,0.764120,0
2005-04-21,0.763940,0.767460,0.762370,0.766460,0.766460,0
2005-04-22,0.766340,0.767750,0.763830,0.765580,0.765580,0
2005-04-25,0.765930,0.771600,0.765700,0.769590,0.769590,0
2005-04-26,0.769530,0.772200,0.768340,0.770120,0.770120,0
2005-04-27,0.770180,0.774590,0.770000,0.773930,0.773930,0
2005-04-28,0.773810,0.776100,0.772800,0.774890,0.774890,0
2005-04-29,0.774890,0.777730,0.770480,0.776640,0.776640,0
2005-05-02,0.777480,0.778690,0.776700,0.778450,0.778450,0
2005-05-03,0.778270,0.779240,0.775190,0.775980,0.775980,0
2005-05-04,0.775980,0.776460,0.770890,0.772200,0.772200,0
2005-05-05,0.772200,0.773280,0.770000,0.771840,0.771840,0
2005-05-06,0.771900,0.780580,0.771370,0.780520,0.780520,0
2005-05-09,0.780090,0.781560,0.776880,0.777910,0.777910,0
2005-05-10,0.777850,0.780030,0.775920,0.775980,0.775980,0
2005-05-11,0.776040,0.781860,0.775010,0.780400,0.780400,0
2005-05-12,0.780460,0.789330,0.780460,0.788580,0.788580,0
2005-05-13,0.788830,0.792960,0.787960,0.792640,0.792640,0
2005-05-16,0.793270,0.794530,0.790640,0.791140,0.791140,0
2005-05-17,0.791200,0.793650,0.789830,0.793460,0.793460,0
2005-05-18,0.793520,0.794340,0.787960,0.788580,0.788580,0
2005-05-19,0.788710,0.792460,0.787960,0.791450,0.791450,0
2005-05-20,0.791200,0.797320,0.790200,0.796370,0.796370,0
2005-05-23,0.796560,0.797510,0.793840,0.795480,0.795480,0
2005-05-24,0.795540,0.796180,0.791830,0.795670,0.795670,0
2005-05-25,0.795670,0.796430,0.792460,0.793710,0.793710,0
2005-05-26,0.793710,0.799870,0.792710,0.799110,0.799110,0
2005-05-27,0.799230,0.799360,0.794090,0.794790,0.794790,0
2005-05-30,0.798210,0.802180,0.797000,0.801090,0.801090,0
2005-05-31,0.800960,0.813010,0.800700,0.812480,0.812480,0
2005-06-01,0.812350,0.821900,0.810310,0.819940,0.819940,0
2005-06-02,0.819740,0.820480,0.813340,0.815200,0.815200,0
2005-06-03,0.815000,0.819070,0.811890,0.817660,0.817660,0
2005-06-06,0.817590,0.818130,0.813340,0.815660,0.815660,0
2005-06-07,0.815660,0.816730,0.812020,0.814400,0.814400,0
2005-06-08,0.814330,0.818600,0.809980,0.817130,0.817130,0
2005-06-09,0.817060,0.820480,0.816260,0.817800,0.817800,0
2005-06-10,0.817660,0.825700,0.816330,0.823930,0.823930,0
2005-06-13,0.825290,0.830980,0.824880,0.825220,0.825220,0
2005-06-14,0.825290,0.831390,0.823050,0.831530,0.831530,0
2005-06-15,0.831530,0.831810,0.824330,0.824950,0.824950,0
2005-06-16,0.824740,0.828910,0.822230,0.826510,0.826510,0
2005-06-17,0.826580,0.826860,0.813540,0.814400,0.814400,0
2005-06-20,0.819810,0.824400,0.816460,0.822910,0.822910,0
2005-06-21,0.822980,0.828090,0.816260,0.821420,0.821420,0
2005-06-22,0.821420,0.826170,0.819670,0.825010,0.825010,0
2005-06-23,0.825080,0.831600,0.823720,0.831320,0.831320,0
2005-06-24,0.831190,0.832920,0.825900,0.826580,0.826580,0
2005-06-27,0.825830,0.825830,0.820610,0.822100,0.822100,0
2005-06-28,0.822300,0.829670,0.821560,0.828290,0.828290,0
2005-06-29,0.828780,0.831670,0.825900,0.827950,0.827950,0
2005-06-30,0.826650,0.830080,0.825150,0.827060,0.827060,0
2005-07-01,0.827270,0.837800,0.826380,0.837800,0.837800,0
2005-07-04,0.839490,0.840830,0.836890,0.839700,0.839700,0
2005-07-05,0.839700,0.842320,0.837660,0.838150,0.838150,0
2005-07-06,0.838290,0.840480,0.837030,0.838290,0.838290,0
2005-07-07,0.838290,0.839490,0.831260,0.837170,0.837170,0
2005-07-08,0.837240,0.841330,0.834590,0.834650,0.834650,0
2005-07-11,0.835350,0.835910,0.827470,0.828570,0.828570,0
